800-999 Injury And Poisoning
	800-804 Fracture Of Skull
		800 Fracture of vault of skull
			851.16 Cortex (cerebral) contusion with open intracranial wound, with loss of consciousness of unspecified duration
			851.19 Cortex (cerebral) contusion with open intracranial wound, with concussion, unspecified
			851.2 Cortex (cerebral) laceration without mention of open intracranial wound
			851.20 Cortex (cerebral) laceration without mention of open intracranial wound, unspecified state of consciousness
			851.21 Cortex (cerebral) laceration without mention of open intracranial wound, with no loss of consciousness
			851.22 Cortex (cerebral) laceration without mention of open intracranial wound, with brief [less than one hour] loss of consciousness
			851.23 Cortex (cerebral) laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.24 Cortex (cerebral) laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			851.25 Cortex (cerebral) laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			851.26 Cortex (cerebral) laceration without mention of open intracranial wound, with loss of consciousness of unspecified duration
			851.29 Cortex (cerebral) laceration without mention of open intracranial wound, with concussion, unspecified
			851.3 Cortex (cerebral) laceration with open intracranial wound
			851.30 Cortex (cerebral) laceration with open intracranial wound, unspecified state of consciousness
			851.31 Cortex (cerebral) laceration with open intracranial wound, with no loss of consciousness
			851.32 Cortex (cerebral) laceration with open intracranial wound, with brief [less than one hour] loss of consciousness
			851.33 Cortex (cerebral) laceration with open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.34 Cortex (cerebral) laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			851.35 Cortex (cerebral) laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			851.36 Cortex (cerebral) laceration with open intracranial wound, with loss of consciousness of unspecified duration
			851.39 Cortex (cerebral) laceration with open intracranial wound, with concussion, unspecified
			851.4 Cerebellar or brain stem contusion without mention of open intracranial wound
			851.40 Cerebellar or brain stem contusion without mention of open intracranial wound, unspecified state of consciousness
			851.41 Cerebellar or brain stem contusion without mention of open intracranial wound, with no loss of consciousness
			851.42 Cerebellar or brain stem contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness
			851.43 Cerebellar or brain stem contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.44 Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss consciousness and return to pre-existing conscious level
			851.45 Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			851.46 Cerebellar or brain stem contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration
			851.49 Cerebellar or brain stem contusion without mention of open intracranial wound, with concussion, unspecified
			851.5 Cerebellar or brain stem contusion with open intracranial wound
			851.50 Cerebellar or brain stem contusion with open intracranial wound, unspecified state of consciousness
			851.51 Cerebellar or brain stem contusion with open intracranial wound, with no loss of consciousness
			851.52 Cerebellar or brain stem contusion with open intracranial wound, with brief [less than one hour] loss of consciousness
			851.53 Cerebellar or brain stem contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.54 Cerebellar or brain stem contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			851.55 Cerebellar or brain stem contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			851.56 Cerebellar or brain stem contusion with open intracranial wound, with loss of consciousness of unspecified duration
			851.59 Cerebellar or brain stem contusion with open intracranial wound, with concussion, unspecified
			851.6 Cerebellar or brain stem laceration without mention of open intracranial wound
			851.60 Cerebellar or brain stem laceration without mention of open intracranial wound, unspecified state of consciousness
			851.61 Cerebellar or brain stem laceration without mention of open intracranial wound, with no loss of consciousness
			851.62 Cerebellar or brain stem laceration without mention of open intracranial wound, with brief [less than 1 hour] loss of consciousness
			851.63 Cerebellar or brain stem laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.64 Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			851.65 Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			851.66 Cerebellar or brain stem laceration without mention of open intracranial wound, with loss of consciousness of unspecified duration
			851.69 Cerebellar or brain stem laceration without mention of open intracranial wound, with concussion, unspecified
			851.7 Cerebellar or brain stem laceration with open intracranial wound
			851.70 Cerebellar or brain stem laceration with open intracranial wound, unspecified state of consciousness
			851.71 Cerebellar or brain stem laceration with open intracranial wound, with no loss of consciousness
			851.72 Cerebellar or brain stem laceration with open intracranial wound, with brief [less than one hour] loss of consciousness
			851.73 Cerebellar or brain stem laceration with open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.74 Cerebellar or brain stem laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			851.75 Cerebellar or brain stem laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			851.76 Cerebellar or brain stem laceration with open intracranial wound, with loss of consciousness of unspecified duration
			851.79 Cerebellar or brain stem laceration with open intracranial wound, with concussion, unspecified
			851.8 Other and unspecified cerebral laceration and contusion without mention of open intracranial wound
			851.80 Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness
			851.81 Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness
			851.82 Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness
			851.83 Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.84 Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level
			851.85 Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			851.86 Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration
			851.89 Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with concussion, unspecified
			851.9 Other and unspecified cerebral laceration and contusion with open intracranial wound
			851.90 Other and unspecified cerebral laceration and contusion, with open intracranial wound, unspecified state of consciousness
			851.91 Other and unspecified cerebral laceration and contusion, with open intracranial wound, with no loss of consciousness
			851.92 Other and unspecified cerebral laceration and contusion, with open intracranial wound, with brief [less than one hour] loss of consciousness
			851.93 Other and unspecified cerebral laceration and contusion, with open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.94 Other and unspecified cerebral laceration and contusion, with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			851.95 Other and unspecified cerebral laceration and contusion, with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			851.96 Other and unspecified cerebral laceration and contusion, with open intracranial wound, with loss of consciousness of unspecified duration
			851.99 Other and unspecified cerebral laceration and contusion, with open intracranial wound, with concussion, unspecified
		852 Subarachnoid subdural and extradural hemorrhage following injury
			852 Subarachnoid subdural and extradural hemorrhage following injury
			852.0 Subarachnoid hemorrhage following injury without mention of open intracranial wound
			852.00 Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness
			852.01 Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness
			852.02 Subarachnoid hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness
			852.03 Subarachnoid hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness
			852.04 Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			852.05 Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			852.06 Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration
			852.09 Subarachnoid hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified
			852.1 Subarachnoid hemorrhage following injury with open intracranial wound
			852.10 Subarachnoid hemorrhage following injury with open intracranial wound, unspecified state of consciousness
